collectioncode,catalognumber,scientificname,longitude,latitude
SPF,77522,Cambessedesia corymbosa,-43.583333,-19.333333
SPF,83921,Cambessedesia corymbosa,-43.583333,-19.333333
SPF,85109,Cambessedesia corymbosa,-43.7,-18.683333
SPF,87396,Cambessedesia corymbosa,-44.216667,-21.333333
RB,RB01045120,Cambessedesia corymbosa,-43.544167,-18.159167
RB,RB01074930,Cambessedesia corymbosa,-43.460556,-18.476944
RB,RB01045043,Cambessedesia corymbosa,-43.797500,-18.270556
RB,RB01196796,Cambessedesia corymbosa,-44.238611,-20.049167
RB*,RB00229386,Cambessedesia corymbosa,-43.502500,-17.986389
RB*,RB00228833,Cambessedesia corymbosa,-43.514444,-19.169167
P*,P05316903,Cambessedesia corymbosa,-43.521667,-20.423889
P*,P05316918,Cambessedesia corymbosa,-43.521667,-20.423889
K*,K000945995,Cambessedesia corymbosa,-43.698611,-20.048611
CEPEC*,75392,Cambessedesia eichleri,-41.7703018188477,-12.4186000823975
CEPEC,84934,Cambessedesia eichleri,-41.85,-13.233333
CEPEC*,84936,Cambessedesia eichleri,-41.6636009216309,-13.2496995925903
CEPEC*,89462,Cambessedesia eichleri,-36.3711013793945,-8.14583015441895
VIC*,52670,Cambessedesia eichleri,-41.2902984619141,-20.1460990905762
HUEFS,46332,Cambessedesia eichleri,-41.9,-13.25
HUEFS,46347,Cambessedesia eichleri,-41.85,-13.233333
NYBG,1654141,Cambessedesia eichleri,-40.77098333333,-19.80378333333
NYBG,778077,Cambessedesia eichleri,-41.85,-13.23
NYBG*,2530377,Cambessedesia eichleri,-40.6002998352051,-19.9356002807617
NYBG,778078,Cambessedesia eichleri,-41.66,-13.25
EAC,61361,Cambessedesia eichleri,-39.456389,-3.856111
VIES*,35350,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
VIES*,38101,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
VIES*,38102,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
VIES*,38103,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
VIES*,5345,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
UEC*,154540,Cambessedesia eichleri,-36.4928016662598,-8.89027976989746
UEC*,171556,Cambessedesia eichleri,-41.6636009216309,-13.2496995925903
MBML-HERBARIO,11624,Cambessedesia eichleri,-40.814722,-19.897778
MBML-HERBARIO,16094,Cambessedesia eichleri,-40.583333,-19.984167
MBML-HERBARIO,19086,Cambessedesia eichleri,-40.472222,-19.914167
